# x y ex ey
1 23683.5 0 155.246
3 23662.3 0 155.143
5 23835.5 0 155.741
7 23798.3 0 155.538
9 23715 0 155.302
11 23702.9 0 155.286
13 23707.4 0 155.229
15 23562.8 0 154.757
17 23548.2 0 154.725
19 16906.3 0 130.825
21 2674.5 0 51.8661
23 1532.74 0 39.2752
25 1397.07 0 37.4588
27 1340.11 0 36.7189
29 1324.57 0 36.4714
31 1312.59 0 36.3209
33 1323.65 0 36.4737
35 1282.87 0 35.8574
37 1282.5 0 35.889
39 1286.23 0 35.9652
41 1274.5 0 35.7916
43 1250.21 0 35.4322
45 1135.06 0 33.7809
47 689.694 0 26.2943
49 222.131 0 14.9421
51 103.478 0 10.196
53 105.553 0 10.3009
55 103.393 0 10.1876
57 118.573 0 10.9155
