# x y ex ey
1 37430.6 0 195.719
3 37245.5 0 195.286
5 37156.8 0 194.222
7 36456.6 0 193.16
9 4203.42 0 65.0775
11 2381.16 0 48.9532
13 1578.81 0 39.8328
15 924.704 0 30.47
17 796.63 0 28.2892
19 563.444 0 23.8525
21 297.495 0 17.2915
23 112.474 0 10.6278
25 55.2256 0 7.44662
27 39.4313 0 6.31406
29 27.1076 0 5.21686
31 11.0471 0 3.33084
33 7.0452 0 2.66284
35 8.03924 0 2.8423
37 2.01395 0 1.42408
39 4.00601 0 2.003
41 0 0 0
43 2.01063 0 1.42173
45 0 0 0
47 0 0 0
49 0 0 0
51 0 0 0
53 0 0 0
55 0 0 0
