# x y ex ey
1 27422.8 0 167.138
3 27402.3 0 167.109
5 27326.6 0 166.669
7 27324.1 0 166.893
9 27124.8 0 166.138
11 27341.7 0 166.801
13 27474.7 0 167.212
15 27176.8 0 166.385
17 27234.4 0 166.504
19 27395 0 167.31
21 27368.6 0 166.807
23 27031.5 0 165.959
25 20777.9 0 145.247
27 3855.77 0 62.4257
29 2678.06 0 51.8767
31 2086.78 0 45.7887
33 1905.85 0 43.8041
35 1833.74 0 42.9599
37 1854.76 0 43.1923
39 1856.59 0 43.1648
41 1740.13 0 41.7045
43 1783.66 0 42.408
45 1714.3 0 41.5168
47 1759.02 0 42.0726
49 1743.74 0 41.7669
51 1706.1 0 41.5135
53 1774.77 0 42.2563
55 1651.25 0 40.7624
57 1353.26 0 36.8722
