# x y ex ey
48 0 0 0
48.5 0 0 0
49 0 0 0
49.5 0 0 0
50 3.01657 0 1.74162
50.5 48.2463 0 6.96376
51 542.961 0 23.3653
51.5 7845.37 0 88.974
52 20734.1 0 145.04
52.5 25972.8 0 162.651
53 29908 0 174.493
53.5 33999.8 0 186.416
54 38393.6 0 198.248
54.5 42790.3 0 209.56
55 46932.6 0 219.669
55.5 51476.9 0 230.301
56 56314.1 0 241.411
56.5 61082.6 0 251.56
57 65681.6 0 261.123
57.5 71107.1 0 272.008
58 76450.4 0 282.436
58.5 82853 0 294.387
59 88464.4 0 304.727
59.5 94891.4 0 315.358
60 102697 0 329.512
