# x y ex ey
1 36800.8 0 194.076
3 36517 0 193.353
5 36602.9 0 193.574
7 36560.4 0 193.36
9 36399.7 0 192.877
11 36792.6 0 194.084
13 36513.5 0 193.174
15 35899.6 0 191.593
17 24261.7 0 156.998
19 19653.2 0 141.2
21 3404.62 0 58.5266
23 2827.42 0 53.3002
25 2905.63 0 54.2091
27 2723.81 0 52.3615
29 2692.5 0 52.0005
31 2556.02 0 50.7262
33 2391.01 0 49.0419
35 2403.91 0 49.1413
37 2189.51 0 46.9372
39 1991.09 0 44.7577
41 1331.79 0 36.5594
43 530.674 0 23.0946
45 267.174 0 16.3815
47 291.674 0 17.1277
49 243.719 0 15.6346
51 245.744 0 15.6681
53 225.077 0 15.0386
55 210.263 0 14.5442
57 210.09 0 14.5322
