# x y ex ey
48 0 0 0
48.5 0 0 0
49 0 0 0
49.5 0 0 0
50 0 0 0
50.5 126.573 0 11.2761
51 1988.22 0 44.6932
51.5 10807.3 0 104.483
52 103692 0 330.995
52.5 369136 0 661.689
53 525918 0 818.589
53.5 620907 0 903.965
54 713400 0 988.401
54.5 783024 0 1046.17
55 883155 0 1126.93
55.5 1.00529e+06 0 1231.44
56 1.08831e+06 0 1298.99
56.5 1.21034e+06 0 1397.33
57 1.3133e+06 0 1473.71
57.5 1.42045e+06 0 1558.75
58 1.54115e+06 0 1654.74
58.5 1.66389e+06 0 1748.37
59 1.78706e+06 0 1841.09
59.5 1.91804e+06 0 1946.68
60 2.04605e+06 0 2037.08
