# x y ex ey
48 0 0 0
48.5 0 0 0
49 0 0 0
49.5 1.00315 0 1.00315
50 2.01022 0 1.42144
50.5 147.655 0 12.1784
51 1791.05 0 42.428
51.5 27251.7 0 166.634
52 77690.9 0 284.7
52.5 106547 0 335.73
53 126757 0 367.848
53.5 145778 0 400.318
54 166846 0 426.051
54.5 187514 0 453.866
55 210060 0 483.643
55.5 233380 0 511.699
56 258926 0 541.996
56.5 285755 0 572.873
57 309525 0 599.316
57.5 336518 0 628.285
58 366787 0 660.405
58.5 399301 0 691.146
59 427164 0 726.676
59.5 452177 0 746.293
60 489188 0 782.071
