# x y ex ey
48 2.00918 0 1.42071
48.5 2.00939 0 1.42085
49 572.663 0 23.9862
49.5 217098 0 491.522
50 346189 0 638.599
50.5 470451 0 764.449
51 594950 0 881.428
51.5 724166 0 995.134
52 854706 0 1105.41
52.5 991754 0 1220.74
53 1.12494e+06 0 1328
53.5 1.26665e+06 0 1440.83
54 1.42135e+06 0 1558.65
54.5 1.57205e+06 0 1677.83
55 1.73363e+06 0 1802.28
55.5 1.90255e+06 0 1931.08
56 2.06564e+06 0 2055.34
56.5 2.24642e+06 0 2187.38
57 2.41927e+06 0 2315.47
57.5 2.51459e+06 0 2382.55
58 2.31252e+06 0 2233.67
