# x y ex ey
48 0 0 0
48.5 0 0 0
49 0 0 0
49.5 0 0 0
50 192.053 0 13.8965
50.5 2275.85 0 47.7884
51 29255.1 0 172.754
51.5 263573 0 547.739
52 465345 0 759.894
52.5 555288 0 844.095
53 641991 0 923.112
53.5 730578 0 1000.91
54 820089 0 1073.89
54.5 911655 0 1152.08
55 1.00367e+06 0 1229.54
55.5 1.10221e+06 0 1310.39
56 1.20511e+06 0 1391.88
56.5 1.3104e+06 0 1474.68
57 1.41491e+06 0 1561.25
57.5 1.52248e+06 0 1639.24
58 1.63945e+06 0 1727.73
58.5 1.76943e+06 0 1823.61
59 1.8967e+06 0 1925.37
59.5 2.03649e+06 0 2031.68
60 2.16871e+06 0 2128.91
