# x y ex ey
1 1.04524e+06 0 1832.36
3 1.03052e+06 0 1252.02
5 1.02499e+06 0 1248.47
7 1.01867e+06 0 1242.43
9 1.01438e+06 0 1238.92
11 1.00866e+06 0 1235.39
13 909118 0 1151.57
15 500381 0 792.704
17 227906 0 505.094
19 175105 0 438.452
21 162122 0 419.282
23 141689 0 390.254
25 132259 0 374.79
27 121605 0 359.84
29 112418 0 345.372
31 100139 0 324.9
33 92233.9 0 311.304
35 85000.5 0 298.347
37 73312.2 0 276.355
39 24309.3 0 157.3
41 20783.8 0 145.245
43 18779.6 0 138.081
45 17212.1 0 132.135
47 15625.8 0 125.765
49 14416.1 0 120.41
51 13058.4 0 114.363
53 12251.7 0 111.269
