# x y ex ey
1 165295 0 424.002
3 165156 0 428.148
5 159605 0 415.943
7 35791.1 0 191.131
9 22960.3 0 152.453
11 11018 0 105.432
13 7772.05 0 88.542
15 2785.58 0 52.9555
17 1726.13 0 41.645
19 1151.4 0 34.0865
21 644.701 0 25.4245
23 264.944 0 16.2754
25 161.869 0 12.757
27 170.76 0 13.0967
29 102.473 0 10.1464
31 39.9829 0 6.32185
33 29.1306 0 5.40941
35 20.1168 0 4.49826
37 13.0584 0 3.62175
39 3.01502 0 1.74072
41 4.01672 0 2.00836
43 1.00366 0 1.00366
45 0 0 0
47 0 0 0
49 0 0 0
51 0 0 0
53 0 0 0
55 0 0 0
57 1.0048 0 1.0048
