# x y ex ey
1 571.481 0 23.9577
3 539.105 0 23.2858
5 552.621 0 23.5638
7 578.573 0 24.1072
9 553.582 0 23.4771
11 534.24 0 23.184
13 546.147 0 23.4374
15 556.133 0 23.5853
17 530.98 0 23.1299
19 588.995 0 24.2897
21 540.727 0 23.3124
23 542.291 0 23.3581
25 544.135 0 23.3942
27 537.158 0 23.2234
29 412.86 0 20.4647
31 76.3125 0 8.75365
33 35.8159 0 5.96932
35 34.1742 0 5.86083
37 45.2216 0 6.74123
39 37.1858 0 6.11332
41 35.1975 0 5.94946
43 29.1636 0 5.41554
45 38.8164 0 6.2156
47 39.4109 0 6.31079
49 25.0455 0 5.0091
51 39.1758 0 6.27314
53 33.1691 0 5.774
55 28.1231 0 5.31477
57 32.1408 0 5.68174
