# x y ex ey
1 19547.5 0 140.896
3 19168.3 0 139.481
5 19099.5 0 139.249
7 18400.9 0 136.543
9 6176.96 0 78.8427
11 1823.13 0 42.7584
13 701.089 0 26.5366
15 458.684 0 21.4563
17 388.772 0 19.7624
19 326.241 0 18.0688
21 216.121 0 14.7394
23 103.414 0 10.1897
25 27.1299 0 5.22115
27 8.04338 0 2.84376
29 8.0351 0 2.84084
31 7.01988 0 2.65327
33 9.0881 0 3.02937
35 2.00815 0 1.41998
37 2.00836 0 1.42012
39 0 0 0
41 0 0 0
43 1.00511 0 1.00511
45 0 0 0
47 0 0 0
49 0 0 0
51 0 0 0
53 0 0 0
55 0 0 0
57 0 0 0
