# x y ex ey
1 1.64158e+06 0 2255.64
3 1.60575e+06 0 1703.7
5 850500 0 1104.82
7 316197 0 606.241
9 181134 0 445.152
11 118740 0 355.408
13 80150.8 0 289.478
15 43967.8 0 212.125
17 19666.5 0 141.248
19 10288.5 0 101.931
21 6127.51 0 78.5901
23 4003.8 0 63.4646
25 1839.13 0 42.9568
27 959.153 0 31.0375
29 492.016 0 22.227
31 295.424 0 17.2295
33 187.529 0 13.7135
35 94.3874 0 9.73532
37 39.1395 0 6.26734
39 39.2282 0 6.28154
41 11.0562 0 3.33358
43 6.02013 0 2.45771
45 0.997205 0 0.997205
47 1.00635 0 1.00635
49 1.00449 0 1.00449
51 0 0 0
53 0 0 0
55 0 0 0
57 0 0 0
