# x y ex ey
1 14136.7 0 119.653
3 14264.9 0 120.179
5 14318.8 0 120.216
7 14375.9 0 120.755
9 14180 0 119.744
11 14135.5 0 119.573
13 8203.87 0 90.997
15 4960.35 0 70.6605
17 4982.62 0 70.8485
19 5065.47 0 71.444
21 4942.72 0 70.5527
23 4941.48 0 70.7589
25 4933.35 0 70.6932
27 4832.18 0 69.7538
29 3869.8 0 62.4975
31 2162.65 0 46.6409
33 2200.69 0 47.0473
35 2040.52 0 45.2778
37 2040.73 0 45.2824
39 2189.18 0 46.9409
41 2053.37 0 45.4624
43 2180.44 0 46.8398
45 2147.67 0 46.4693
47 2019.08 0 45.0692
49 1897.88 0 43.6785
51 1212.15 0 34.9045
53 1101.41 0 33.2693
55 1021.66 0 32.0367
