# x y ex ey
1 2.49236e+06 0 2370.28
3 2.50325e+06 0 3456.54
5 2.31388e+06 0 2237.55
7 1.71965e+06 0 1793.66
9 718232 0 987.787
11 594047 0 879.338
13 569377 0 861.174
15 563527 0 851.179
17 542042 0 831.504
19 289702 0 576.424
21 187575 0 454.32
23 180807 0 444.786
25 160447 0 417.12
27 150520 0 403.267
29 144809 0 394.937
31 138928 0 385.215
33 99765.2 0 324.447
35 54218.1 0 236.731
37 46974.5 0 219.251
39 45615 0 216.494
41 43711.5 0 211.863
43 40428.7 0 203.661
45 32720.5 0 182.771
47 27106.3 0 166.209
49 18196.4 0 135.775
51 14503.4 0 121.212
53 13562.9 0 117.122
