# x y ex ey
1 32887.8 0 183.283
3 33283.8 0 184.381
5 32993.8 0 183.582
7 33094.8 0 183.906
9 32865.3 0 183.256
11 30759.8 0 177.17
13 16688.4 0 130.026
15 11857.8 0 109.658
17 11672.1 0 108.612
19 11607.6 0 108.265
21 11755.1 0 108.565
23 11467.1 0 107.56
25 11804.7 0 109.242
27 11451.7 0 107.515
29 9233.97 0 96.4913
31 5226.44 0 72.5545
33 4983.59 0 70.8409
35 5211.96 0 72.4723
37 5054.85 0 71.3652
39 4999.56 0 71.2335
41 5031.97 0 71.1628
43 4889.17 0 70.408
45 4928.08 0 70.4515
47 4835.68 0 69.7971
49 4004.76 0 63.4559
51 2527.44 0 50.64
53 2474.35 0 49.8877
55 2485.67 0 49.9941
57 2436.59 0 49.4899
