# x y ex ey
1 53601.7 0 235.249
3 53823.5 0 235.554
5 53978.5 0 236.011
7 53444.2 0 234.761
9 47537.6 0 221.079
11 19790.5 0 141.756
13 18382.1 0 136.13
15 18225.3 0 135.592
17 18522.1 0 137.08
19 18399 0 136.74
21 18226.8 0 136.275
23 15314.8 0 124.511
25 8513.29 0 92.6947
27 7674.75 0 88.0065
29 7783.25 0 88.5604
31 7674.26 0 87.8681
33 7481.71 0 86.8616
35 7755.5 0 88.5202
37 7181.46 0 85.0727
39 4880.13 0 70.0819
41 3731.2 0 61.2744
43 3642.89 0 60.5218
45 3711.84 0 61.1464
47 3559.38 0 59.832
49 3666.69 0 60.6915
51 3554.15 0 59.8034
53 2879.87 0 53.8317
55 1986.41 0 44.6752
57 1868.89 0 43.3456
