# x y ex ey
1 139319 0 386.961
3 139131 0 386.505
5 138027 0 384.612
7 81478.2 0 291.883
9 33119.8 0 183.976
11 30161.8 0 175.35
13 27745.9 0 168.142
15 27011.9 0 165.898
17 27601.8 0 168.332
19 19354.7 0 139.991
21 9344.72 0 97.1408
23 7391.89 0 86.3501
25 6735.72 0 82.4192
27 6793.29 0 82.6486
29 6776.55 0 82.9001
31 6376.55 0 80.1021
33 5520.07 0 74.4936
35 2240.88 0 47.4853
37 1903.47 0 43.7609
39 1730.22 0 41.7071
41 1756.77 0 42.0913
43 1859.7 0 43.2254
45 1705.99 0 41.4373
47 1373.35 0 37.1584
49 751.33 0 27.4713
51 587.993 0 24.2691
53 537.886 0 23.2331
55 515.859 0 22.7757
57 502.004 0 22.4055
