# x y ex ey
1 64938.1 0 259.514
3 64971.9 0 259.69
5 65045.7 0 259.749
7 64738 0 259.008
9 47287.2 0 220.562
11 16834.8 0 130.593
13 13104.5 0 115.213
15 11963.5 0 109.905
17 11764.8 0 109.079
19 11713.2 0 108.787
21 11740.7 0 108.832
23 9625.92 0 98.5629
25 4125.15 0 64.4475
27 3144.21 0 56.2633
29 2765 0 52.7457
31 2775.23 0 52.8351
33 2618.21 0 51.2587
35 2626.43 0 51.3999
37 2418.98 0 49.3054
39 1597.08 0 40.0649
41 869.707 0 29.5709
43 772.141 0 27.8622
45 667.932 0 25.9013
47 629.46 0 25.1583
49 670.562 0 25.9643
51 690.919 0 26.3028
53 568.526 0 23.8969
55 359.856 0 19.019
57 261.372 0 16.1785
