# x y ex ey
1 595.961 0 24.4732
3 597.664 0 24.5018
5 599.885 0 24.5929
7 587.155 0 24.2967
9 607.394 0 24.7145
11 639.058 0 25.3403
13 609.591 0 24.8039
15 603.444 0 24.615
17 575.263 0 24.032
19 628.813 0 25.1324
21 583.072 0 24.2108
23 624.375 0 25.1772
25 603.258 0 24.6074
27 603.297 0 24.65
29 522.846 0 22.9283
31 191.915 0 13.8865
33 46.2408 0 6.81783
35 53.4371 0 7.34015
37 46.198 0 6.81152
39 47.1926 0 6.88375
41 51.3093 0 7.18474
43 52.1703 0 7.23472
45 35.1758 0 5.94579
47 52.2078 0 7.23993
49 49.2262 0 7.03231
51 50.2101 0 7.10078
53 53.1681 0 7.30321
55 53.2392 0 7.31297
57 48.2066 0 6.95803
