# x y ex ey
1 3739.33 0 61.3664
3 3697.69 0 61.0044
5 3693.28 0 60.9647
7 3786.85 0 61.6829
9 3745.53 0 61.4269
11 3764.94 0 61.6624
13 3836.27 0 62.1264
15 3804.35 0 61.8288
17 3396.45 0 58.5768
19 1373.53 0 37.0145
21 181.066 0 13.4959
23 172.822 0 13.1776
25 176.969 0 13.3396
27 161.205 0 12.7047
29 180.787 0 13.4751
31 190.675 0 13.833
33 178.98 0 13.4151
35 189.925 0 13.815
37 185.981 0 13.6736
39 166.879 0 12.9523
41 188.842 0 13.7727
43 81.1831 0 9.02034
45 21.1097 0 4.6065
47 20.0281 0 4.47843
49 13.0611 0 3.6225
51 12.0564 0 3.48038
53 13.0611 0 3.6225
55 15.0566 0 3.88759
