# x y ex ey
1 64656.7 0 259.067
3 64812.7 0 259.282
5 63800.2 0 257.186
7 64548.6 0 258.285
9 63347.4 0 256.138
11 63641.9 0 256.856
13 64561.8 0 258.458
15 64826.3 0 259.363
17 65109.8 0 259.934
19 58853.3 0 247.252
21 23421.4 0 154.255
23 4789.43 0 69.3974
25 3553.69 0 59.8211
27 3129.2 0 56.175
29 2980.81 0 54.6868
31 2967.06 0 54.6557
33 2881.26 0 53.9614
35 3019.64 0 55.1216
37 2881.77 0 53.8578
39 2926.94 0 54.2398
41 2782.42 0 52.9145
43 2686.51 0 52.0013
45 2621.91 0 51.3213
47 1859.74 0 43.2615
49 777.695 0 27.9537
51 305.411 0 17.5165
53 230.395 0 15.1918
55 201.736 0 14.2293
57 191.126 0 13.8658
