# x y ex ey
1 45973 0 217.428
3 45750.1 0 216.966
5 45963.1 0 217.415
7 45329.1 0 215.921
9 46212.3 0 218.051
11 45978.2 0 217.44
13 45037.9 0 214.824
15 33109.2 0 183.296
17 3397.39 0 58.4974
19 2265.55 0 47.6141
21 2271.73 0 47.8286
23 2210.93 0 47.1907
25 2191.89 0 46.999
27 2046.15 0 45.3917
29 2125.74 0 46.2337
31 2013.34 0 45.1212
33 1863.77 0 43.2616
35 1367.16 0 37.0859
37 460.54 0 21.5196
39 162.857 0 12.7953
41 145.209 0 12.1008
43 154.783 0 12.4727
45 143.711 0 12.0177
47 150.855 0 12.3173
49 152.819 0 12.3953
51 128.662 0 11.3722
53 113.63 0 10.6894
55 108.424 0 10.4331
