# x y ex ey
1 955.527 0 30.9851
3 953.909 0 30.9652
5 961.246 0 31.0889
7 1026 0 32.1096
9 937.129 0 30.6474
11 1035.56 0 32.2043
13 943.208 0 30.7641
15 963.655 0 31.1343
17 972.616 0 31.2611
19 965.369 0 31.1572
21 912.33 0 30.2934
23 494.533 0 22.2953
25 97.5403 0 9.90372
27 77.3883 0 8.81922
29 63.1742 0 7.9592
31 44.9625 0 6.70261
33 49.2211 0 7.03158
35 52.2562 0 7.24663
37 37.182 0 6.11269
39 46.2265 0 6.81573
41 45.2029 0 6.73846
43 43.0964 0 6.57213
45 48.2265 0 6.96089
47 57.1399 0 7.56836
49 41.1594 0 6.42802
51 38.183 0 6.1941
53 23.1011 0 4.81691
55 5.0178 0 2.24403
57 10.0532 0 3.1791
