# x y ex ey
1 -nan 0 -nan
3 6122.33 0 78.5365
5 3798.69 0 61.843
7 3703 0 61.0671
9 3686.48 0 60.9273
11 3734.23 0 61.2993
13 3781.31 0 61.7075
15 3723.62 0 61.1994
17 3546.82 0 59.7477
19 2502.5 0 50.1504
21 318.451 0 17.9143
23 162.841 0 12.794
25 150.886 0 12.3198
27 166.793 0 12.9457
29 147.747 0 12.1859
31 150.468 0 12.2856
33 138.6 0 11.7984
35 154.911 0 12.4427
37 131.705 0 11.5071
39 135.503 0 11.6623
41 55.1972 0 7.44279
43 14.0673 0 3.75963
45 6.02818 0 2.46099
47 4.01878 0 2.00939
49 10.0377 0 3.1742
51 5.01935 0 2.24472
53 7.0423 0 2.66174
55 11.0585 0 3.33427
57 13.0678 0 3.62436
59 4.02127 0 2.01063
61 8.03676 0 2.84142
63 2.00239 0 1.4159
