# x y ex ey
1 -nan 0 -nan
3 35271.4 0 189.939
5 34576.4 0 188.007
7 34505.6 0 187.811
9 34735.6 0 188.253
11 34693.4 0 188.32
13 34737.5 0 188.549
15 34923.9 0 189.063
17 34433.3 0 187.62
19 34680.8 0 187.851
21 33872.9 0 186.014
23 11905.6 0 109.716
25 2271.95 0 47.8014
27 2085.84 0 45.7902
29 2095.69 0 45.8959
31 2032.59 0 45.2245
33 2033.18 0 45.2264
35 1899.22 0 43.7209
37 1882.85 0 43.367
39 1915.64 0 43.8555
41 1803.99 0 42.544
43 1729.27 0 41.7086
45 1714.65 0 41.5253
47 1390.71 0 37.5047
49 721.585 0 26.9857
51 212.777 0 14.6136
53 150.591 0 12.2957
55 145.299 0 12.1083
57 156.987 0 12.569
59 152.849 0 12.3571
61 158.918 0 12.6428
63 156.519 0 12.5316
