# Reference list of runs
#
#  ## Run Tag ## Run status ## board status  ## type of measurement ## board IV 1 ## board IV 2 ## board DCR 1 ## board DCR 2 ##
#
# Reference for NEW state
20230509-131701	good	NEW	memmert-hama3	1	2	3	4
20230509-152244	good	NEW	memmert-hama3	3	4	1	2
20230510-091838	good	NEW	memmert-hama3	5	6	7	8
20230510-142550	good	NEW	memmert-hama3	7	8	5	6
20230511-091358	good	NEW	memmert-hama3	9	10	11	12
20230511-141347	good	NEW	memmert-hama3	11	12	9	10
20230512-090813	good	NEW	memmert-hama3	13	14	15	16
20230512-164543	good	NEW	memmert-hama3	15	16	13	14
20230515-084829	good	NEW	memmert-hama3	1	2	17	18
20230629-094709	good	NEW	memmert-hama3	19	20	21	22
20230629-144521	good	NEW	memmert-hama3	21	22	19	20
20230515-165101	good	NEW	memmert-hama3	17	18	1	2
20230705-132553	good	NEW	memmert-hama3	23	24	25	26
20230705-175037	good	NEW	memmert-hama3	25	26	23	24
20230714-085839	good	NEW	memmert-hama3	31	32	33	34
20230717-100852	good	NEW	memmert-hama3	.	.	31	32
20230714-143422	bad	NEW	memmert-hama3	33	34	31	32
20230712-102550	good	NEW	memmert-hama3	27	28	29	30
20230712-155625	good	NEW	memmert-hama3	29	30	27	28
#
# Reference for TIFPA-IRR1 state
20230619-091741	good	TIFPA-IRR1	memmert-hama3	5	6	9	10
20230619-130235	good	TIFPA-IRR1	memmert-hama3	9	10	5	6
20230619-183032	good	TIFPA-IRR1	memmert-hama3	.	8	.	.
20230620-083837	good	TIFPA-IRR1	memmert-hama3	.	.	.	8
20230619-183032	good	TIFPA-IRR1	memmert-hama3	.	.	11	12
20230620-083837	good	TIFPA-IRR1	memmert-hama3	11	12	.	.
20230620-131455	good	TIFPA-IRR1	memmert-hama3	1	2	3	4
20230620-184841	good	TIFPA-IRR1	memmert-hama3	3	4	1	2
20230626-112604	good	TIFPA-IRR1	memmert-hama3	13	14	15	16
20230626-145904	good	TIFPA-IRR1	memmert-hama3	15	16	13	14
#
# Reference for SANN state
20230627-085113	good	SANN-100-30m	memmert-hama3-iv	13	14	.	.
20230627-125751	good	SANN-100-30m	memmert-hama3-dcr	.	.	13	14
20230628-113238	good	SANN-100-2.5h	memmert-hama3-iv	13	14	.	.
20230628-162116	good	SANN-100-2.5h	memmert-hama3-dcr	.	.	13	14
20230630-094047	good	SANN-100-24h	memmert-hama3-iv	13	14	.	.
20230630-134247	good	SANN-100-24h	memmert-hama3-dcr	.	.	13	14
20230703-093956	good	SANN-125-30m	memmert-hama3-iv	13	14	.	.
20230703-140444	good	SANN-125-30m	memmert-hama3-dcr	.	.	13	14
20230704-113141	good	SANN-125-2.5h	memmert-hama3-iv	13	14	.	.
20230704-160502	bad	SANN-125-2.5h	memmert-hama3-dcr	.	.	13	14
20230705-091323	bad	SANN-125-2.5h	memmert-hama3-dcr	.	.	13	14
20230705-113526	bad	SANN-125-2.5h	memmert-hama3-dcr	.	.	13	14
20230705-121028	good	SANN-125-2.5h	memmert-hama3-dcr	.	.	13	14
